,links,movie,cert,rateoc,rateou
268,the-fits,The Fits,Not Rated,90,6.6
269,the-souvenir-part-ii,The Souvenir: Part II,R,90,5.8
270,mad-max-fury-road,Mad Max: Fury Road,R,90,8.6
271,united-93,United 93,R,90,7.6
272,capturing-the-friedmans,Capturing the Friedmans,Not Rated,90,8.0
273,the-truman-show,The Truman Show,PG,90,6.7
274,american-hustle,American Hustle,R,90,7.3
275,star-wars-episode-iv---a-new-hope,Star Wars: Episode IV - A New Hope,PG,90,8.8
276,persepolis,Persepolis,PG-13,90,8.5
277,the-age-of-innocence,The Age of Innocence,PG,90,7.9
278,the-best-of-youth,The Best of Youth,R,89,8.8
279,who-we-are-a-chronicle-of-racism-in-america,Who We Are: A Chronicle of Racism in America,PG-13,89,3.9
280,the-overnighters,The Overnighters,PG-13,89,7.5
281,the-lives-of-others,The Lives of Others,R,89,8.8
282,two-lane-blacktop,Two-Lane Blacktop,R,89,tbd
283,house-of-flying-daggers,House of Flying Daggers,PG-13,89,8.8
284,63-up,63 Up,Not Rated,89,7.2
285,minding-the-gap,Minding the Gap,Not Rated,89,8.1
286,treasure-island,Treasure Island,Approved,89,tbd
287,lost-in-translation,Lost in Translation,R,89,7.5
288,blue-is-the-warmest-color,Blue Is the Warmest Color,NC-17,89,7.8
289,searching-for-bobby-fischer,Searching for Bobby Fischer,PG,89,7.3
290,hit-the-road,Hit the Road,Not Rated,89,tbd
291,national-gallery,National Gallery,Not Rated,89,tbd
292,assault-on-precinct-13-1976,Assault on Precinct 13,R,89,7.4
293,man-on-wire,Man on Wire,PG-13,89,8.2
294,for-sama,For Sama,Not Rated,89,7.6
295,force-of-evil,Force of Evil,Passed,89,tbd
296,the-hidden-fortress,The Hidden Fortress,Not Rated,89,tbd
297,still-walking,Still Walking,Not Rated,89,8.6
298,gangs-of-wasseypur,Gangs of Wasseypur,R,89,8.5
299,the-last-detail,The Last Detail,R,89,7.6
300,when-the-levees-broke-a-requiem-in-four-acts,When the Levees Broke: A Requiem in Four Acts,TV-MA,89,tbd
